orcid,nome,genero
orcid.org/0000-0002-1546-3740,Carlos Caetano,Masculino
orcid.org/0000-0002-1649-6843,Kelly Poldi,Feminino
orcid.org/0000-0002-1724-9780,Alessandra Davólio Gomes,Feminino
orcid.org/0000-0002-1733-0087,Antonio Montes Herrera,Masculino
orcid.org/0000-0002-1736-544X,Luciana Zaina,Feminino
orcid.org/0000-0002-1756-4852,André Santanchè,Masculino
orcid.org/0000-0002-1884-8830,Flávia Linhalis,Feminino
orcid.org/0000-0002-1914-5790,Mario Jino,Masculino
orcid.org/0000-0002-1927-7398,claudio miceli,Masculino
orcid.org/0000-0002-1941-6036,Marco Antonio Garcia de Carvalho,Masculino
orcid.org/0000-0002-1953-9132,Daniel L. Guidoni,Masculino
orcid.org/0000-0002-1957-9943,Mylene Farias,Feminino
orcid.org/0000-0002-2042-4623,Breno Piva,Masculino
